,City,State,City_State,Latitude,Longitude
0, Siloam Springs,AR," Siloam Springs, AR",36.1881365,-94.54049619999999
1, Morrilton,AR," Morrilton, AR",35.1509173,-92.74405379999999
2, Conway,AR," Conway, AR",35.0886963,-92.4421011
3, Sherwood,AR," Sherwood, AR",34.8150907,-92.2243153
4, Commerce,GA," Commerce, GA",34.203997,-83.4571057
5, Tahlequah,OK," Tahlequah, OK",35.91537,-94.969956
6, Harrison,AR," Harrison, AR",36.2297936,-93.1076765
7, Sikeston,MO," Sikeston, MO",36.876719,-89.5878579
8, Rogers,AR," Rogers, AR",36.3320196,-94.1185366
9, West Plains,MO," West Plains, MO",36.7281154,-91.8523711
10, Newport,AR," Newport, AR",35.6048018,-91.2817951
11, Poplar Bluff,MO," Poplar Bluff, MO",36.7569994,-90.392888
12, Neosho,MO," Neosho, MO",36.8689554,-94.36799599999999
13, Claremore,OK," Claremore, OK",36.3125963,-95.61609
14, Van Buren,AR," Van Buren, AR",35.436756,-94.34826799999999
15, Clinton,MO," Clinton, MO",38.3686324,-93.7782689
16, Pryor,OK," Pryor, OK",36.3084275,-95.31691359999999
17, Ruston,LA," Ruston, LA",32.5232053,-92.63792699999999
18, Saint Robert,MO," Saint Robert, MO",37.8280961,-92.17766639999999
19, Leavenworth,KS," Leavenworth, KS",39.3111112,-94.9224637
20, Mexico,MO," Mexico, MO",39.1730652,-91.887271
21, Salem,MO," Salem, MO",37.6455993,-91.53598079999999
22, Miami,OK," Miami, OK",36.8745146,-94.8774554
23, Lebanon,MO," Lebanon, MO",37.6805967,-92.6637865
24, Nashville,AR," Nashville, AR",33.9456692,-93.847129
25, Poteau,OK," Poteau, OK",35.0537094,-94.6235579
26, Branson,MO," Branson, MO",36.6436731,-93.21851439999999
27, Manhattan,KS," Manhattan, KS",39.18360819999999,-96.57166939999999
28, Jacksonville,AR," Jacksonville, AR",34.8662005,-92.1101458
29, Nevada,MO," Nevada, MO",37.83920519999999,-94.3546719
30, Paragould,AR," Paragould, AR",36.0584021,-90.4973286
31, Farmington,MO," Farmington, MO",37.7808846,-90.4217895
32, Jefferson City,MO," Jefferson City, MO",38.57670170000001,-92.1735164
33, Fort Scott,KS," Fort Scott, KS",37.8397626,-94.7082951
34, Junction City,KS," Junction City, KS",39.0286093,-96.83139779999999
35, Coffeyville,KS," Coffeyville, KS",37.0373005,-95.6163665
36, Idabel,OK," Idabel, OK",33.8956647,-94.8263281
37, Bartlesville,OK," Bartlesville, OK",36.7473114,-95.98081789999999
38, Eldon,MO," Eldon, MO",38.34836360000001,-92.58157589999999
39, Moberly,MO," Moberly, MO",39.4183689,-92.43823669999999
40, Jonesboro,AR," Jonesboro, AR",35.84229670000001,-90.704279
41, Bolivar,MO," Bolivar, MO",37.6144838,-93.4104749
42, Hugo,OK," Hugo, OK",34.01066,-95.50968209999999
43, Sallisaw,OK," Sallisaw, OK",35.4603711,-94.7874463
44, Fulton,MO," Fulton, MO",38.84670819999999,-91.94795859999999
45, Monett,MO," Monett, MO",36.9289502,-93.92770709999999
46, Vinita,OK," Vinita, OK",36.6386937,-95.15413389999999
47, Ava,MO," Ava, MO",36.951999,-92.6604457
48, Walnut Ridge,AR," Walnut Ridge, AR",36.0684035,-90.9559534
49, Hot Springs,AR," Hot Springs, AR",34.5037004,-93.0551795
50, Russellville,AR," Russellville, AR",35.2784173,-93.1337856
51, Springdale,AR," Springdale, AR",36.18674420000001,-94.1288141
52, Booneville,AR," Booneville, AR",35.140093,-93.92159090000001
53, Brownsville,TN," Brownsville, TN",35.5939671,-89.26229099999999
54, Warrensburg,MO," Warrensburg, MO",38.7627893,-93.73604979999999
55, Troy,MO," Troy, MO",38.9794922,-90.9806954
56, Clarksville,AR," Clarksville, AR",35.4714724,-93.46657309999999
57, Wagoner,OK," Wagoner, OK",35.9595442,-95.36941159999999
58, Festus,MO," Festus, MO",38.2206101,-90.3959543
59, Wynne,AR," Wynne, AR",35.224533,-90.78677979999999
60, Blytheville,AR," Blytheville, AR",35.9272953,-89.9189753
61, West Memphis,AR," West Memphis, AR",35.1464797,-90.1845388
62, Sullivan,MO," Sullivan, MO",38.2081045,-91.16042069999999
63, Pocahontas,AR," Pocahontas, AR",36.2614554,-90.97123300000001
64, Sapulpa,OK," Sapulpa, OK",35.9987007,-96.1141664
65, Berryville,AR," Berryville, AR",36.364792,-93.5679667
66, Osceola,AR," Osceola, AR",35.7050778,-89.96953200000002
67, Marshfield,MO," Marshfield, MO",37.338658,-92.9071209
68, Joplin,MO," Joplin, MO",37.08422710000001,-94.51328099999999
69, Pineville,LA," Pineville, LA",31.3224044,-92.4343035
70, Taylor,TX," Taylor, TX",30.5707551,-97.40944379999999
71, Columbia,MO," Columbia, MO",38.9517053,-92.3340724
72, Stilwell,OK," Stilwell, OK",35.81453,-94.6285553
73, Benton,AR," Benton, AR",34.5645371,-92.586828
74, Magnolia,AR," Magnolia, AR",33.2670725,-93.239334
75, Perryville,MO," Perryville, MO",37.7242202,-89.8612196
76, Minden,LA," Minden, LA",32.6154278,-93.2868354
77, Springfield,MO," Springfield, MO",37.2089572,-93.29229889999999
78, Camdenton,MO," Camdenton, MO",38.0080902,-92.7446289
79, Grove,OK," Grove, OK",36.5936863,-94.76911860000001
80, Forrest City,AR," Forrest City, AR",35.0081474,-90.7898342
81, Mountain Grove,MO," Mountain Grove, MO",37.1306078,-92.2634942
82, Covington,TN," Covington, TN",35.5762326,-89.65340289999999
83, Millington,TN," Millington, TN",35.3414744,-89.8973084
84, Desloge,MO," Desloge, MO",37.8708845,-90.5273473
85, Mountain Home,AR," Mountain Home, AR",36.3353949,-92.381346
86, Union,MO," Union, MO",38.4500517,-91.00847619999999
87, Ripley,TN," Ripley, TN",35.7453552,-89.5297973
88, Bastrop,LA," Bastrop, LA",32.7562463,-91.8723497
89, Rolla,MO," Rolla, MO",37.948544,-91.7715303
90, Bentonville,AR," Bentonville, AR",36.3728538,-94.2088172
91, Shawnee,OK," Shawnee, OK",35.3272928,-96.9253004
92, Stuttgart,AR," Stuttgart, AR",34.5003748,-91.5526281
93, Harrisonville,MO," Harrisonville, MO",38.6533445,-94.3488372
94, Fulton,KY," Fulton, KY",36.5042277,-88.8742259
95, Milan,TN," Milan, TN",35.9197885,-88.7589488
96, Corinth,MS," Corinth, MS",34.9342548,-88.5222702
97, Guthrie,OK," Guthrie, OK",35.878937,-97.42531849999999
98, Martin,TN," Martin, TN",36.3433965,-88.8503379
99, Cameron,MO," Cameron, MO",39.7402801,-94.241057
100, Winter Garden,FL," Winter Garden, FL",28.5652787,-81.58618469999999
101, Chickasha,OK," Chickasha, OK",35.052565,-97.93643259999999
102, Chanute,KS," Chanute, KS",37.6792135,-95.4572034
103, Booneville,MS," Booneville, MS",34.6581596,-88.5667036
104, Starkville,MS," Starkville, MS",33.4503998,-88.81838719999999
105, Carthage,MO," Carthage, MO",37.176447,-94.31022279999999
106, Vivian,LA," Vivian, LA",32.8715278,-93.9874032
107, Batesville,AR," Batesville, AR",35.769799,-91.6409721
108, Joplin,MO," Joplin, MO",37.08422710000001,-94.51328099999999
109, West Point,MS," West Point, MS",33.6076186,-88.6503254
