,Store Number,Store Type,Address,City,State,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
0,4,Walmart Supercenter, 2901 Highway 412 E, Siloam Springs,AR,72761,22314,31.5,48064,21146,3887,17.41955723
1,8,Walmart Supercenter, 1621 North Business 9, Morrilton,AR,72110,10913,40,37808,22314,2302,21.09410794
2,5,Walmart Supercenter, 1155 Hwy 65 North, Conway,AR,72032,32508,34.1,44686,22699,5311,16.33751692
3,7,Walmart Supercenter, 9053 Highway 107, Sherwood,AR,72120,33161,38.7,63575,30459,3654,11.01896806
4,3,Walmart Supercenter, 30983 Highway 441 S, Commerce,GA,30529,10766,36.8,44854,21262,1840,17.09084154
5,10,Walmart Supercenter, 2020 S Muskogee Ave, Tahlequah,OK,74464,31494,31.6,35529,18962,7007,22.24868229
6,2,Walmart Supercenter, 161 N. Walmart Drive, Harrison,AR,72601,30306,39.6,41595,22877,4596,15.1653138
7,9,Walmart Supercenter, 1303 S Main St, Sikeston,MO,63801,23217,40.3,40634,23240,4324,18.62428393
8,1,Walmart Supercenter, 2110 W Walnut St, Rogers,AR,72756,40381,35.3,46642,26106,6369,15.77226914
9,15,Walmart Supercenter, 1310 Preacher Roe Blvd, West Plains,MO,65775,24961,39.5,36258,21388,5464,21.89014863
10,18,Walmart Supercenter, 1211 Highway 367 N, Newport,AR,72112,11318,38.4,29180,15959,2610,23.06061142
11,19,Walmart Supercenter, 333 S Westwood Blvd, Poplar Bluff,MO,63901,35290,39,37052,20993,7401,20.97194673
12,17,Walmart Supercenter, 3200 Lusk Dr, Neosho,MO,64850,23745,35.7,42015,21560,3577,15.06422405
13,12,Walmart Supercenter, 1500 S Lynn Riggs Blvd, Claremore,OK,74017,28184,39.7,51635,26003,3398,12.05648595
14,16,Walmart Supercenter, 2214 Fayetteville Rd, Van Buren,AR,72956,34694,37.3,42796,22325,6206,17.88781922
15,20,Walmart Supercenter, 1712 E Ohio St, Clinton,MO,64735,13317,43.7,41262,25504,2797,21.00322896
16,22,Walmart Supercenter, 4901 S Mill St, Pryor,OK,74361,16465,37.2,47326,24005,2914,17.69814759
17,23,Walmart Supercenter, 1201 N Service Rd E, Ruston,LA,71270,31240,27.9,32729,22948,10945,35.03521127
18,21,Walmart Supercenter, 185 Saint Robert Blvd, Saint Robert,MO,65584,11390,31.5,51725,23369,1309,11.49253731
19,26,Walmart Supercenter, 5000 10Th Ave, Leavenworth,KS,66048,36145,38.2,60208,27905,4616,12.77078434
20,25,Walmart Supercenter, 4820 S Clark St, Mexico,MO,65265,15033,40.9,43682,22906,2319,15.42606266
21,27,Walmart Supercenter, 1101 W Highway 32, Salem,MO,65560,14525,42.8,38971,20747,3083,21.22547332
22,28,Walmart Supercenter, 2415 N Main St, Miami,OK,74354,18003,36.9,38953,20110,3674,20.40770983
23,14,Walmart Supercenter, 1800 S Jefferson Ave, Lebanon,MO,65536,29517,39.8,42604,20509,5173,17.52549378
24,33,Walmart Supercenter, 1710 S 4Th St, Nashville,AR,71852,10143,37.2,34665,20502,2592,25.55456965
25,31,Walmart Supercenter, 3108 N Broadway St, Poteau,OK,74953,11787,38.9,42123,23293,2257,19.14821413
26,32,Walmart, 2050 West Hwy 76, Branson,MO,65616,26512,40.6,44986,21962,4025,15.18180447
27,35,Walmart Supercenter, 101 Bluemont Ave, Manhattan,KS,66502,45070,25.4,43614,26153,11817,26.21921456
28,24,Walmart Supercenter, 2000 John Harden Dr, Jacksonville,AR,72076,38780,34.9,45770,21303,6378,16.44662197
29,34,Walmart Supercenter, 2250 Lincoln Ave, Nevada,MO,64772,13864,38.6,41680,23111,1969,14.20225043
30,36,Walmart Supercenter, 2802 W Kingshighway, Paragould,AR,72450,38308,37.5,45252,22273,5879,15.34666388
31,37,Walmart Supercenter, 707 Walton Dr, Farmington,MO,63640,28501,39.8,47557,23468,3140,11.01715729
32,29,Walmart Supercenter, 724 Stadium West Blv, Jefferson City,MO,65109,39013,38.8,55096,30104,5070,12.99566811
33,39,Walmart Supercenter, 2500 S Main St, Fort Scott,KS,66701,12426,39,37853,20130,2059,16.57009496
34,43,Walmart Supercenter, 521 E Chestnut St, Junction City,KS,66441,27168,27.4,46806,22931,4202,15.46672556
35,42,Walmart Supercenter, 1863 Cr 5300, Coffeyville,KS,67337,12680,40.4,41676,23245,2619,20.65457413
36,38,Walmart Supercenter, 1907 Se Washington St, Idabel,OK,74745,9847,37.4,31394,19543,2347,23.83467046
37,41,Walmart Supercenter, 4000 Se Green Country Rd, Bartlesville,OK,74006,26803,41.3,61405,34197,2342,8.737827855
38,44,Walmart, 1802 S Business 54, Eldon,MO,65026,11645,41,38479,22026,2708,23.25461571
39,40,Walmart Supercenter, 1301 E Highway 24, Moberly,MO,65270,17438,37.7,42907,19177,2971,17.0375043
40,45,Walmart Supercenter, 1815 E Highland Dr, Jonesboro,AR,72401,57220,32.8,41030,22778,12730,22.24746592
41,46,Walmart Supercenter, 2451 S Springfield Ave, Bolivar,MO,65613,17445,35.5,44853,22263,2201,12.61679564
42,49,Walmart Supercenter, 1911 E Jackson St, Hugo,OK,74743,8591,41.5,29665,18684,2938,34.19857991
43,47,Walmart Supercenter, 1101 W Ruth Ave, Sallisaw,OK,74955,15032,38.8,34816,18376,3892,25.89143161
44,51,Walmart Supercenter, 1701 N Bluff St, Fulton,MO,65251,21460,36.1,48726,21570,3097,14.43150047
45,48,Walmart Supercenter, 885 E Us Highway 60, Monett,MO,65708,13311,36,43685,21579,2913,21.88415596
46,50,Walmart Supercenter, 268 S 7Th St, Vinita,OK,74301,11633,43,40603,21104,2071,17.80280237
