,Store Number,Store Type,Address,City,State,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
0,4,Walmart Supercenter, 2901 Highway 412 E, Siloam Springs,AR,72761,22314.0,31.5,48064.0,21146.0,3887.0,17.419557228645694
1,8,Walmart Supercenter, 1621 North Business 9, Morrilton,AR,72110,10913.0,40.0,37808.0,22314.0,2302.0,21.094107944653167
2,5,Walmart Supercenter, 1155 Hwy 65 North, Conway,AR,72032,32508.0,34.1,44686.0,22699.0,5311.0,16.337516918912268
3,7,Walmart Supercenter, 9053 Highway 107, Sherwood,AR,72120,33161.0,38.7,63575.0,30459.0,3654.0,11.01896806489551
4,3,Walmart Supercenter, 30983 Highway 441 S, Commerce,GA,30529,10766.0,36.8,44854.0,21262.0,1840.0,17.090841538175738
5,10,Walmart Supercenter, 2020 S Muskogee Ave, Tahlequah,OK,74464,31494.0,31.6,35529.0,18962.0,7007.0,22.24868228868991
6,2,Walmart Supercenter, 161 N. Walmart Drive, Harrison,AR,72601,30306.0,39.6,41595.0,22877.0,4596.0,15.165313799247674
7,9,Walmart Supercenter, 1303 S Main St, Sikeston,MO,63801,23217.0,40.3,40634.0,23240.0,4324.0,18.624283929878967
8,1,Walmart Supercenter, 2110 W Walnut St, Rogers,AR,72756,40381.0,35.3,46642.0,26106.0,6369.0,15.772269136475074
9,15,Walmart Supercenter, 1310 Preacher Roe Blvd, West Plains,MO,65775,24961.0,39.5,36258.0,21388.0,5464.0,21.89014863186571
10,18,Walmart Supercenter, 1211 Highway 367 N, Newport,AR,72112,11318.0,38.4,29180.0,15959.0,2610.0,23.060611415444423
11,19,Walmart Supercenter, 333 S Westwood Blvd, Poplar Bluff,MO,63901,35290.0,39.0,37052.0,20993.0,7401.0,20.971946727118162
12,17,Walmart Supercenter, 3200 Lusk Dr, Neosho,MO,64850,23745.0,35.7,42015.0,21560.0,3577.0,15.064224047167825
13,12,Walmart Supercenter, 1500 S Lynn Riggs Blvd, Claremore,OK,74017,28184.0,39.7,51635.0,26003.0,3398.0,12.05648594947488
14,16,Walmart Supercenter, 2214 Fayetteville Rd, Van Buren,AR,72956,34694.0,37.3,42796.0,22325.0,6206.0,17.88781921946158
15,20,Walmart Supercenter, 1712 E Ohio St, Clinton,MO,64735,13317.0,43.7,41262.0,25504.0,2797.0,21.00322895547045
16,22,Walmart Supercenter, 4901 S Mill St, Pryor,OK,74361,16465.0,37.2,47326.0,24005.0,2914.0,17.698147585788035
17,23,Walmart Supercenter, 1201 N Service Rd E, Ruston,LA,71270,31240.0,27.9,32729.0,22948.0,10945.0,35.03521126760563
18,21,Walmart Supercenter, 185 Saint Robert Blvd, Saint Robert,MO,65584,11390.0,31.5,51725.0,23369.0,1309.0,11.492537313432836
19,26,Walmart Supercenter, 5000 10Th Ave, Leavenworth,KS,66048,36145.0,38.2,60208.0,27905.0,4616.0,12.770784340849357
20,25,Walmart Supercenter, 4820 S Clark St, Mexico,MO,65265,15033.0,40.9,43682.0,22906.0,2319.0,15.426062662143284
21,27,Walmart Supercenter, 1101 W Highway 32, Salem,MO,65560,14525.0,42.8,38971.0,20747.0,3083.0,21.225473321858864
22,28,Walmart Supercenter, 2415 N Main St, Miami,OK,74354,18003.0,36.9,38953.0,20110.0,3674.0,20.40770982614009
23,14,Walmart Supercenter, 1800 S Jefferson Ave, Lebanon,MO,65536,29517.0,39.8,42604.0,20509.0,5173.0,17.525493783243554
24,33,Walmart Supercenter, 1710 S 4Th St, Nashville,AR,71852,10143.0,37.2,34665.0,20502.0,2592.0,25.554569653948537
25,31,Walmart Supercenter, 3108 N Broadway St, Poteau,OK,74953,11787.0,38.9,42123.0,23293.0,2257.0,19.14821413421566
26,32,Walmart, 2050 West Hwy 76, Branson,MO,65616,26512.0,40.6,44986.0,21962.0,4025.0,15.181804465902234
27,35,Walmart Supercenter, 101 Bluemont Ave, Manhattan,KS,66502,45070.0,25.4,43614.0,26153.0,11817.0,26.219214555136453
28,24,Walmart Supercenter, 2000 John Harden Dr, Jacksonville,AR,72076,38780.0,34.9,45770.0,21303.0,6378.0,16.446621970087673
29,34,Walmart Supercenter, 2250 Lincoln Ave, Nevada,MO,64772,13864.0,38.6,41680.0,23111.0,1969.0,14.202250432775534
30,36,Walmart Supercenter, 2802 W Kingshighway, Paragould,AR,72450,38308.0,37.5,45252.0,22273.0,5879.0,15.346663882217813
31,37,Walmart Supercenter, 707 Walton Dr, Farmington,MO,63640,28501.0,39.8,47557.0,23468.0,3140.0,11.017157292726571
32,29,Walmart Supercenter, 724 Stadium West Blv, Jefferson City,MO,65109,39013.0,38.8,55096.0,30104.0,5070.0,12.99566811062979
33,39,Walmart Supercenter, 2500 S Main St, Fort Scott,KS,66701,12426.0,39.0,37853.0,20130.0,2059.0,16.570094962176082
34,43,Walmart Supercenter, 521 E Chestnut St, Junction City,KS,66441,27168.0,27.4,46806.0,22931.0,4202.0,15.466725559481743
35,42,Walmart Supercenter, 1863 Cr 5300, Coffeyville,KS,67337,12680.0,40.4,41676.0,23245.0,2619.0,20.654574132492115
36,38,Walmart Supercenter, 1907 Se Washington St, Idabel,OK,74745,9847.0,37.4,31394.0,19543.0,2347.0,23.834670458007515
37,41,Walmart Supercenter, 4000 Se Green Country Rd, Bartlesville,OK,74006,26803.0,41.3,61405.0,34197.0,2342.0,8.737827855090847
38,44,Walmart, 1802 S Business 54, Eldon,MO,65026,11645.0,41.0,38479.0,22026.0,2708.0,23.2546157148991
39,40,Walmart Supercenter, 1301 E Highway 24, Moberly,MO,65270,17438.0,37.7,42907.0,19177.0,2971.0,17.037504300951944
40,45,Walmart Supercenter, 1815 E Highland Dr, Jonesboro,AR,72401,57220.0,32.8,41030.0,22778.0,12730.0,22.24746592100664
41,46,Walmart Supercenter, 2451 S Springfield Ave, Bolivar,MO,65613,17445.0,35.5,44853.0,22263.0,2201.0,12.616795643450846
42,49,Walmart Supercenter, 1911 E Jackson St, Hugo,OK,74743,8591.0,41.5,29665.0,18684.0,2938.0,34.19857990920731
43,47,Walmart Supercenter, 1101 W Ruth Ave, Sallisaw,OK,74955,15032.0,38.8,34816.0,18376.0,3892.0,25.891431612559874
44,51,Walmart Supercenter, 1701 N Bluff St, Fulton,MO,65251,21460.0,36.1,48726.0,21570.0,3097.0,14.431500465983225
45,48,Walmart Supercenter, 885 E Us Highway 60, Monett,MO,65708,13311.0,36.0,43685.0,21579.0,2913.0,21.88415596123507
46,50,Walmart Supercenter, 268 S 7Th St, Vinita,OK,74301,11633.0,43.0,40603.0,21104.0,2071.0,17.80280237256082
47,56,Walmart Supercenter, 1309 Nw 12Th Ave, Ava,MO,65608,9258.0,46.4,31913.0,17240.0,1787.0,19.302225102613956
48,57,Walmart, 1600 W Main St, Walnut Ridge,AR,72476,6584.0,40.0,39301.0,18939.0,1130.0,17.16281895504253
49,52,Walmart Supercenter, 1601 Albert Pike Rd, Hot Springs,AR,71913,45631.0,45.5,41635.0,27796.0,7627.0,16.71451425565953
50,58,Walmart Supercenter, 2409 E Main St, Russellville,AR,72802,21699.0,39.7,49489.0,26005.0,2775.0,12.788607769943315
51,54,Walmart Supercenter, 2004 S Pleasant St, Springdale,AR,72764,54717.0,29.2,42496.0,20850.0,12873.0,23.526509128789957
52,55,Walmart Supercenter, 1400 East Main St, Booneville,AR,72927,8543.0,40.4,37922.0,19559.0,1542.0,18.04986538686644
53,64,Walmart Supercenter, 1100 S Dupree Ave, Brownsville,TN,38012,13841.0,39.6,35884.0,21865.0,2680.0,19.362762806155626
54,61,Walmart Supercenter, 301 E Cooper St, Warrensburg,MO,64093,27875.0,27.3,47338.0,22230.0,5518.0,19.795515695067266
55,60,Walmart Supercenter, 101 Highway 47 E, Troy,MO,63379,24878.0,36.9,63411.0,25802.0,2356.0,9.4702146474797
56,66,Walmart Supercenter, 230 Market St., Clarksville,AR,72830,15459.0,35.9,37065.0,19454.0,3211.0,20.77107186752054
57,63,Walmart Supercenter, 410 S Dewey Ave, Wagoner,OK,74467,15226.0,41.8,40429.0,21973.0,2982.0,19.58492053067122
58,69,Walmart Supercenter, 650 S Truman Blvd, Festus,MO,63028,26259.0,43.0,54302.0,26638.0,2444.0,9.307285121291748
59,68,Walmart Supercenter, 800 Highway 64 E, Wynne,AR,72396,12941.0,38.0,43941.0,24254.0,2385.0,18.429796769955953
60,62,Walmart Supercenter, 3700 E Highway 18, Blytheville,AR,72315,22683.0,34.3,39806.0,20063.0,5259.0,23.184763920116385
61,70,Walmart Supercenter, 798 W Service Rd, West Memphis,AR,72301,24773.0,33.4,30182.0,17165.0,7519.0,30.351592459532554
62,65,Walmart Supercenter, 350 Park Ridge Rd, Sullivan,MO,63080,13220.0,38.4,42002.0,22386.0,1943.0,14.697428139183057
63,71,Walmart Supercenter, 1415 Highway 67 S, Pocahontas,AR,72455,12396.0,40.9,36473.0,21757.0,2637.0,21.272991287512102
64,73,Walmart Supercenter, 1002 W Taft St, Sapulpa,OK,74066,32474.0,38.9,51926.0,25263.0,4434.0,13.654000123175463
65,76,Walmart Supercenter, 1000 W Trimble Ave, Berryville,AR,72616,10654.0,37.0,40317.0,20961.0,1707.0,16.0221513046743
66,74,Walmart Supercenter, 2720 W Keiser Ave, Osceola,AR,72370,7888.0,36.3,28893.0,18343.0,2579.0,32.695233265720084
67,78,Walmart Supercenter, 14740 State Hwy #38, Marshfield,MO,65706,15312.0,40.2,44420.0,21336.0,2354.0,15.373563218390805
68,79,Walmart Supercenter, 2623 W 7Th St, Joplin,MO,64801,37751.0,36.9,40866.0,23594.0,6735.0,17.840587004317765
69,75,Walmart Supercenter, 3636 Monroe Hwy, Pineville,LA,71360,36928.0,34.0,47089.0,23163.0,6150.0,16.6540294627383
70,77,Walmart Supercenter, 3701 N Main St, Taylor,TX,76574,18939.0,37.6,50030.0,24571.0,2307.0,12.18121336923808
71,80,Walmart Supercenter, 3001 W Broadway, Columbia,MO,65203,56652.0,35.6,61559.0,37335.0,7134.0,12.592671044270281
72,81,Walmart Supercenter, Rr 6 Box 1895, Stilwell,OK,74960,13861.0,35.0,32214.0,15381.0,4436.0,32.00346295361085
